frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,M44194.tif:1592-3183,944300,191.399,0,255,2518,1237,1330,710,1500.744,801.149,0,0.713,1.873,0.534,1.000
2,M44194.tif:2077-3124,299136,180.906,2,255,2796,1849,656,456,740.217,514.541,0,0.760,1.439,0.695,1.000
3,M44194.tif:2028-2663,144324,213.852,58,255,2452,1857,422,342,476.176,385.906,0,0.777,1.234,0.810,1.000
4,M44194.tif:1267-2030,414816,178.934,0,255,1732,919,596,696,785.352,672.514,90,0.781,1.168,0.856,1.000
5,M44194.tif:1970-2107,714780,189.007,4,255,1746,1475,722,990,1117.095,814.690,90,0.766,1.371,0.729,1.000
6,M44194.tif:2343-2296,105536,208.902,56,255,2102,2207,388,272,437.811,306.919,0,0.761,1.426,0.701,1.000
7,M44194.tif:1768-1306,271272,201.788,4,255,1052,1501,508,534,602.554,573.217,90,0.785,1.051,0.951,1.000
8,M44194.tif:3903-3538,860160,206.443,0,255,3118,3391,840,1024,1155.460,947.839,90,0.778,1.219,0.820,1.000
9,M44194.tif:3353-2581,1398584,196.376,0,255,1890,2847,1382,1012,1559.420,1141.920,0,0.767,1.366,0.732,1.000
10,M44194.tif:2955-1281,427632,163.156,0,255,828,2719,906,472,1022.312,532.595,0,0.707,1.919,0.521,1.000
11,M44194.tif:3572-1394,737096,187.947,0,255,996,3109,796,926,1044.879,898.190,90,0.781,1.163,0.860,1.000
12,M44194.tif:4896-1418,382536,204.243,18,255,1004,4665,828,462,934.298,521.311,0,0.722,1.792,0.558,1.000
13,M44194.tif:5404-2105,325404,212.918,21,255,1712,5197,786,414,886.906,467.149,0,0.710,1.899,0.527,1.000
14,M44194.tif:4900-2988,2262040,192.211,0,255,1822,4415,2332,970,2631.380,1094.528,0,0.652,2.404,0.416,1.000
15,M44194.tif:4213-2538,312816,184.684,8,255,2272,3919,532,588,663.487,600.298,90,0.783,1.105,0.905,1.000
16,M44194.tif:5824-3334,175536,174.075,0,255,2698,5755,1272,138,1435.298,155.716,0,0.277,9.217,0.108,1.000
