frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,M44189.tif:0618-2267,252252,211.186,41,255,2053,324,429,588,663.487,484.075,90,0.766,1.371,0.730,1.000
2,M44189.tif:0603-1912,59732,215.792,66,255,1803,466,218,274,309.176,245.987,90,0.775,1.257,0.796,1.000
3,M44189.tif:0629-1481,121360,204.238,52,255,1317,444,328,370,417.500,370.108,90,0.783,1.128,0.886,1.000
4,M44189.tif:1214-0952,1470696,194.026,5,255,486,425,932,1578,1780.582,1051.649,90,0.733,1.693,0.591,1.000
5,M44189.tif:1820-1094,491232,215.982,51,255,750,1463,688,714,805.663,776.325,90,0.785,1.038,0.964,1.000
6,M44189.tif:1717-1394,64660,215.860,69,255,1242,1611,305,212,344.156,239.216,0,0.760,1.439,0.695,1.000
7,M44189.tif:2358-0805,163476,224.268,87,255,634,2119,342,478,539.365,385.906,90,0.764,1.398,0.715,1.000
8,M44189.tif:2365-1604,216810,221.932,0,255,1203,2230,803,270,906.088,304.662,0,0.592,2.974,0.336,1.000
9,M44189.tif:1160-1689,244160,198.487,39,255,1417,936,545,448,614.967,505.514,0,0.778,1.217,0.822,1.000
10,M44189.tif:0971-1890,103818,196.652,44,255,1676,850,429,242,484.075,273.068,0,0.724,1.773,0.564,1.000
11,M44189.tif:1513-1708,139524,193.431,40,255,1477,1362,462,302,521.311,340.771,0,0.751,1.530,0.654,1.000
12,M44189.tif:1700-1912,110960,183.197,36,255,1722,1554,380,292,428.784,329.487,0,0.772,1.301,0.768,1.000
13,M44189.tif:1904-1966,63580,188.339,31,255,1796,1811,340,187,383.649,211.007,0,0.719,1.818,0.550,1.000
14,M44189.tif:1310-2303,261326,197.619,38,255,2004,1092,598,437,674.771,493.102,0,0.766,1.368,0.731,1.000
15,M44189.tif:1607-2305,59452,197.585,49,255,2138,1518,334,178,376.879,200.851,0,0.712,1.876,0.533,1.000
16,M44189.tif:2271-2382,298424,204.963,60,255,2090,2016,584,511,658.973,576.602,0,0.782,1.143,0.875,1.000
17,M44189.tif:2951-2082,553284,194.627,0,255,1800,2461,564,981,1106.940,636.406,90,0.728,1.739,0.575,1.000
18,M44189.tif:2721-2337,132854,187.766,52,255,2154,2540,367,362,414.115,408.473,0,0.785,1.014,0.986,1.000
19,M44189.tif:2917-1725,151060,200.688,54,255,1518,2735,415,364,468.277,410.730,0,0.782,1.140,0.877,1.000
20,M44189.tif:3039-2535,79460,188.568,56,255,2398,2894,274,290,327.230,309.176,90,0.785,1.058,0.945,1.000
21,M44189.tif:3424-2243,71680,196.634,71,255,2115,3284,256,280,315.946,288.865,90,0.784,1.094,0.914,1.000
22,M44189.tif:3377-1280,95700,191.970,30,255,1106,3240,348,275,392.676,310.304,0,0.775,1.265,0.790,1.000
23,M44189.tif:3007-1219,101460,208.366,64,255,1041,2865,356,285,401.703,321.588,0,0.776,1.249,0.801,1.000
24,M44189.tif:3175-0765,205824,219.261,51,255,573,2907,384,536,604.811,433.298,90,0.764,1.396,0.716,1.000
25,M44189.tif:3624-1543,80080,149.867,11,255,1088,3580,910,88,1026.825,99.297,0,0.253,10.341,0.097,1.000
