frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,M44192.tif:0872-3263,229320,198.142,37,255,3043,612,441,520,586.757,497.615,90,0.780,1.179,0.848,1.000
2,M44192.tif:0870-2480,418897,182.149,16,255,2132,570,697,601,786.480,678.156,0,0.781,1.160,0.862,1.000
3,M44192.tif:1168-1796,379760,174.455,21,255,1594,698,404,940,1060.676,455.865,90,0.660,2.327,0.430,1.000
4,M44192.tif:1807-2695,710244,190.318,0,255,2333,1317,724,981,1106.940,816.947,90,0.768,1.355,0.738,1.000
5,M44192.tif:2230-1452,48762,208.194,82,255,1389,2037,126,387,436.683,142.176,90,0.582,3.071,0.326,1.000
6,M44192.tif:1890-1500,56364,189.088,47,255,1409,1736,183,308,347.541,206.493,90,0.734,1.683,0.594,1.000
7,M44192.tif:2162-1222,160615,212.009,69,255,1046,1935,353,455,513.413,398.318,90,0.773,1.289,0.776,1.000
8,M44192.tif:2112-0852,208964,215.616,82,255,633,1874,439,476,537.108,495.358,90,0.784,1.084,0.922,1.000
9,M44192.tif:1081-1058,1103392,182.642,0,255,594,487,928,1189,1341.643,1047.136,90,0.773,1.281,0.780,1.000
10,M44192.tif:2449-3054,95778,153.915,0,255,2585,2398,939,102,1059.548,115.095,0,0.278,9.206,0.109,1.000
