frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,M44188.tif:1231-3191,498236,208.796,0,255,2976,653,431,1156,1304.406,486.331,90,0.621,2.682,0.373,1.000
2,M44188.tif:1955-3167,140244,215.672,20,255,2993,1754,348,403,454.737,392.676,90,0.781,1.158,0.864,1.000
3,M44188.tif:0709-2524,155511,199.957,0,255,2291,543,467,333,526.953,375.750,0,0.763,1.402,0.713,1.000
4,M44188.tif:0952-2506,163885,182.133,0,252,2282,770,449,365,506.642,411.858,0,0.777,1.230,0.813,1.000
5,M44188.tif:1205-2430,167200,208.987,1,253,2193,1029,475,352,535.980,397.189,0,0.768,1.349,0.741,1.000
6,M44188.tif:1724-2293,43281,218.676,56,255,2199,1610,189,229,258.399,213.264,90,0.778,1.212,0.825,1.000
7,M44188.tif:2156-2168,111159,214.504,30,255,2079,1846,179,621,700.723,201.980,90,0.546,3.469,0.288,1.000
8,M44188.tif:2161-2006,165616,212.922,22,255,1918,1691,176,941,1061.805,198.595,90,0.417,5.347,0.187,1.000
9,M44188.tif:2194-1824,181279,203.983,0,255,1723,1748,203,893,1007.643,229.061,90,0.474,4.399,0.227,1.000
10,M44188.tif:2403-1630,123012,219.581,43,255,1496,2174,268,459,517.926,302.406,90,0.731,1.713,0.584,1.000
11,M44188.tif:1971-1534,108460,217.258,35,255,1424,1725,220,493,556.291,248.243,90,0.670,2.241,0.446,1.000
12,M44188.tif:1771-1674,55744,195.837,8,255,1607,1563,134,416,469.406,151.203,90,0.579,3.104,0.322,1.000
13,M44188.tif:1760-1742,45368,196.693,0,252,1689,1548,107,424,478.433,120.737,90,0.505,3.963,0.252,1.000
14,M44188.tif:0926-0825,633137,206.860,0,255,428,572,893,709,1007.643,800.021,0,0.775,1.260,0.794,1.000
15,M44188.tif:1413-1040,248985,194.369,0,255,789,1166,503,495,567.575,558.548,0,0.785,1.016,0.984,1.000
16,M44188.tif:1621-0618,655508,202.518,0,255,331,1050,574,1142,1288.609,647.690,90,0.699,1.990,0.503,1.000
17,M44188.tif:2198-0871,497080,210.858,2,255,506,1858,731,680,824.845,767.298,0,0.784,1.075,0.930,1.000
18,M44188.tif:2640-2887,83430,137.207,0,255,2424,2595,927,90,1046.007,101.554,0,0.253,10.300,0.097,1.000
