frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,M42317.tif:0932-5122,153996,122.484,19,248,4966,686,313,492,555.163,353.183,90,0.747,1.572,0.636,1
2,M42317.tif:1038-4370,721650,140.7,2,235,3945,614,850,849,959.122,957.994,0,0.785,1.001,0.999,1
3,M42317.tif:1056-3512,532766,142.488,9,236,3182,653,661,806,909.474,745.859,90,0.778,1.219,0.82,1
4,M42317.tif:1085-2616,300404,157.349,9,229,2398,741,436,689,777.453,491.973,90,0.746,1.58,0.633,1
5,M42317.tif:1051-1841,263082,150.173,16,252,1572,807,538,489,607.068,551.777,0,0.784,1.1,0.909,1
6,M42317.tif:1009-1153,85020,139.849,19,220,990,879,327,260,368.98,293.379,0,0.775,1.258,0.795,1
7,M42317.tif:1812-1065,17135,156.693,28,214,991,1755,149,115,168.128,129.764,0,0.772,1.296,0.772,1
8,M42317.tif:1875-1318,42419,158.951,29,210,1234,1750,169,251,283.223,190.696,90,0.755,1.485,0.673,1
9,M42317.tif:1777-1622,17136,160.712,23,217,1550,1718,144,119,162.487,134.277,0,0.778,1.21,0.826,1
10,M42317.tif:1987-1682,26344,148.692,20,220,1593,1913,178,148,200.851,167,0,0.779,1.203,0.831,1
11,M42317.tif:1822-1910,54338,171.634,26,230,1809,1688,202,269,303.534,227.933,90,0.77,1.332,0.751,1
12,M42317.tif:1980-2117,25800,174.291,37,224,2042,1894,150,172,194.081,169.257,90,0.782,1.147,0.872,1
13,M42317.tif:1840-2418,76260,173.727,23,225,2263,1717,310,246,349.798,277.581,0,0.775,1.26,0.794,1
14,M42317.tif:1919-2866,136155,185.445,26,232,2710,1702,313,435,490.845,353.183,90,0.765,1.39,0.72,1
15,M42317.tif:1969-3371,126294,160.2,14,222,3226,1752,291,434,489.717,328.358,90,0.755,1.491,0.671,1
16,M42317.tif:1922-3849,92714,163.298,11,227,3698,1769,302,307,346.412,340.771,90,0.785,1.017,0.984,1
17,M42317.tif:1977-4392,230560,175.188,16,247,4130,1757,524,440,591.271,496.487,0,0.779,1.191,0.84,1
18,M42317.tif:1950-5018,120680,155.027,16,214,4803,1810,431,280,486.331,315.946,0,0.75,1.539,0.65,1
19,M42317.tif:2495-5059,76151,148.86,29,224,4919,2360,281,271,317.075,305.791,0,0.785,1.037,0.964,1
20,M42317.tif:2472-4589,70152,173.316,47,217,4441,2354,296,237,334,267.426,0,0.776,1.249,0.801,1
21,M42317.tif:2444-4141,111453,179.199,53,228,3950,2299,383,291,432.169,328.358,0,0.771,1.316,0.76,1
22,M42317.tif:2437-3672,54731,173.809,41,223,3553,2323,239,229,269.683,258.399,0,0.785,1.044,0.958,1
23,M42317.tif:2468-3433,36846,181.267,54,229,3344,2365,178,207,233.574,200.851,90,0.781,1.163,0.86,1
24,M42317.tif:2386-3190,9460,169.362,55,223,3135,2343,110,86,124.122,97.041,0,0.774,1.279,0.782,1
25,M42317.tif:2593-3185,12255,185.178,65,227,3121,2546,129,95,145.561,107.196,0,0.767,1.358,0.736,1
26,M42317.tif:2453-2906,24888,169.117,41,220,2845,2351,122,204,230.189,137.662,90,0.736,1.672,0.598,1
27,M42317.tif:2469-2782,30378,168.857,29,225,2721,2345,122,249,280.966,137.662,90,0.693,2.041,0.49,1
28,M42317.tif:2447-2586,8004,179.165,24,228,2552,2389,69,116,130.892,77.858,90,0.735,1.681,0.595,1
29,M42317.tif:2631-2137,15210,177.917,40,214,2072,2573,130,117,146.689,132.02,0,0.783,1.111,0.9,1
30,M42317.tif:2401-1644,229194,169.951,16,233,1323,2223,642,357,724.419,402.831,0,0.721,1.798,0.556,1
31,M42317.tif:2432-1021,225429,161.286,18,251,777,2202,489,461,551.777,520.183,0,0.785,1.061,0.943,1
32,M42317.tif:2957-1051,76288,156.334,21,230,902,2829,298,256,336.257,288.865,0,0.781,1.164,0.859,1
33,M42317.tif:2923-1517,136310,155.576,18,214,1302,2765,430,317,485.203,357.696,0,0.767,1.356,0.737,1
34,M42317.tif:2818-1625,11660,160.22,43,208,1570,2765,110,106,124.122,119.608,0,0.785,1.038,0.964,1
35,M42317.tif:2874-1821,46686,164.187,23,217,1696,2781,251,186,283.223,209.879,0,0.768,1.349,0.741,1
36,M42317.tif:2995-2262,102202,172.854,19,228,2076,2858,373,274,420.885,309.176,0,0.767,1.361,0.735,1
37,M42317.tif:3053-2676,85848,167.541,30,220,2530,2906,292,294,331.743,329.487,90,0.785,1.007,0.993,1
38,M42317.tif:3141-3017,9322,170.821,34,214,2958,3102,118,79,133.149,89.142,0,0.755,1.494,0.669,1
39,M42317.tif:3026-3128,38678,181.359,37,255,3012,2943,233,166,262.912,187.311,0,0.763,1.404,0.712,1
40,M42317.tif:3039-3591,103683,160.907,25,220,3430,2879,323,321,364.466,362.21,0,0.785,1.006,0.994,1
41,M42317.tif:2873-4072,20280,175.156,57,228,4007,2795,130,156,176.027,146.689,90,0.779,1.2,0.833,1
42,M42317.tif:3099-4006,26730,187.436,68,221,3907,3032,198,135,223.419,152.331,0,0.757,1.467,0.682,1
43,M42317.tif:3071-4166,22059,173.519,54,221,4102,2986,129,171,192.953,145.561,90,0.77,1.326,0.754,1
44,M42317.tif:3054-4275,2584,183.528,44,218,4241,3035,68,38,76.73,42.878,0,0.722,1.789,0.559,1
45,M42317.tif:3211-4187,10912,174.641,85,212,4143,3149,88,124,139.919,99.297,90,0.763,1.409,0.71,1
46,M42317.tif:3144-4527,53535,161.449,31,214,4420,3020,215,249,280.966,242.602,90,0.781,1.158,0.863,1
47,M42317.tif:3112-4997,114080,153.363,26,223,4842,2928,310,368,415.244,349.798,90,0.78,1.187,0.842,1
48,M42317.tif:3552-5074,74841,161.684,38,220,4951,3401,247,303,341.899,278.71,90,0.777,1.227,0.815,1
49,M42317.tif:3509-4734,13098,159.969,45,206,4675,3454,118,111,133.149,125.25,0,0.785,1.063,0.941,1
50,M42317.tif:3643-4752,11172,165.254,44,211,4703,3586,98,114,128.635,110.581,90,0.781,1.163,0.86,1
51,M42317.tif:3572-4512,40970,165.243,42,217,4427,3452,170,241,271.939,191.824,90,0.762,1.418,0.705,1
52,M42317.tif:3563-4330,15352,174.405,49,221,4280,3487,101,152,171.514,113.966,90,0.753,1.505,0.664,1
53,M42317.tif:3516-4127,16560,172.882,56,216,4082,3424,90,184,207.622,101.554,90,0.693,2.044,0.489,1
54,M42317.tif:3657-4087,2679,174.632,68,217,4064,3629,47,57,64.318,53.034,90,0.778,1.213,0.825,1
55,M42317.tif:3626-4008,2548,171.214,65,210,3984,3600,49,52,58.676,55.291,90,0.785,1.061,0.942,1
56,M42317.tif:3449-4038,14382,173.21,58,224,3968,3398,141,102,159.101,115.095,0,0.765,1.382,0.723,1
57,M42317.tif:3526-3816,19159,164.134,39,223,3757,3446,119,161,181.669,134.277,90,0.768,1.353,0.739,1
