 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
24,P106-Fg010_R.tif:2910-3214:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,3410,85.873,24,112,3187,2879,55,62,69.960,62.061,90,0.783,1.127,0.887,1.000
25,P106-Fg010_R.tif:2997-3221:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,3648,95.766,35,112,3189,2969,64,57,72.216,64.318,0,0.783,1.123,0.891,1.000
26,P106-Fg010_R.tif:2972-3380:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,112322,78.393,8,121,3132,2859,497,226,560.804,255.014,0,0.675,2.199,0.455,1.000
27,P106-Fg010_R.tif:3363-4269:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,48125,66.019,8,125,4182,3226,175,275,310.304,197.466,90,0.747,1.571,0.636,1.000
28,P106-Fg010_R.tif:3457-4216:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,10488,48.742,10,117,4159,3411,114,92,128.635,103.811,0,0.776,1.239,0.807,1.000
29,P106-Fg010_R.tif:3492-4172:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,26058,71.884,9,128,4108,3391,129,202,227.933,145.561,90,0.747,1.566,0.639,1.000
30,P106-Fg010_R.tif:3460-4116:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,6300,80.800,11,120,4086,3408,60,105,118.480,67.703,90,0.727,1.750,0.571,1.000
31,P106-Fg010_R.tif:3446-4062:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,3713,68.225,10,124,4039,3407,47,79,89.142,53.034,90,0.735,1.681,0.595,1.000
32,P106-Fg010_R.tif:3391-3688:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,46046,98.592,9,134,3608,3248,161,286,322.716,181.669,90,0.724,1.776,0.563,1.000
33,P106-Fg010_R.tif:3520-3638:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,11466,64.749,9,116,3589,3462,98,117,132.020,110.581,90,0.779,1.194,0.838,1.000
34,P106-Fg010_R.tif:3477-3764:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,15151,89.240,9,121,3695,3423,139,109,156.845,122.993,0,0.774,1.275,0.784,1.000
35,P106-Fg010_R.tif:3410-3715:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,112582,81.002,7,134,3560,3229,311,362,408.473,350.926,90,0.781,1.164,0.859,1.000
36,P106-Fg010_R.tif:3475-3471:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,4672,61.921,9,107,3435,3443,73,64,82.372,72.216,0,0.782,1.141,0.877,1.000
37,P106-Fg010_R.tif:3525-3394:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,18944,79.502,7,118,3330,3451,128,148,167.000,144.433,90,0.781,1.156,0.865,1.000
38,P106-Fg010_R.tif:3458-3241:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,10625,78.170,9,117,3179,3416,125,85,141.047,95.912,0,0.757,1.471,0.680,1.000
39,P106-Fg010_R.tif:3749-3427:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,3328,66.216,8,116,3401,3717,52,64,72.216,58.676,90,0.777,1.231,0.813,1.000
40,P106-Fg010_R.tif:3801-3328:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,31590,55.994,7,121,3207,3736,243,130,274.196,146.689,0,0.713,1.869,0.535,1.000
41,P106-Fg010_R.tif:3771-3294:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,11376,65.965,13,112,3222,3732,144,79,162.487,89.142,0,0.719,1.823,0.549,1.000
42,P106-Fg010_R.tif:3798-3353:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,16416,54.273,7,118,3281,3741,144,114,162.487,128.635,0,0.775,1.263,0.792,1.000
43,P106-Fg010_R.tif:2935-3696:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,2494032,54.660,3,139,3027,2003,1338,1864,2103.299,1509.771,90,0.764,1.393,0.718,1.000
