 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,P106-Fg010_R.tif:2187-3435:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,1482,64.640,14,119,3416,2168,38,39,44.007,42.878,90,0.785,1.026,0.974,1.000
2,P106-Fg010_R.tif:2187-3384:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,2444,69.144,17,118,3358,2164,52,47,58.676,53.034,0,0.783,1.106,0.904,1.000
3,P106-Fg010_R.tif:2142-3272:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,13192,72.486,14,121,3224,2074,97,136,153.460,109.453,90,0.763,1.402,0.713,1.000
4,P106-Fg010_R.tif:2137-3180:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,19040,76.346,14,120,3112,2067,136,140,157.973,153.460,90,0.785,1.029,0.971,1.000
5,P106-Fg010_R.tif:2292-3376:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,12099,85.608,13,124,3322,2237,109,111,125.250,122.993,90,0.785,1.018,0.982,1.000
6,P106-Fg010_R.tif:2463-3494:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,720,91.885,39,114,3474,2454,40,18,45.135,20.311,0,0.672,2.222,0.450,1.000
7,P106-Fg010_R.tif:2478-3390:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,5040,96.932,18,119,3338,2454,105,48,118.480,54.162,0,0.676,2.187,0.457,1.000
8,P106-Fg010_R.tif:2455-3129:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,2652,108.769,37,123,3095,2436,68,39,76.730,44.007,0,0.728,1.744,0.574,1.000
9,P106-Fg010_R.tif:2286-3261:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,1408,107.697,57,120,3239,2270,44,32,49.649,36.108,0,0.766,1.375,0.727,1.000
10,P106-Fg010_R.tif:2707-3767:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,416,49.293,9,73,3759,2694,16,26,29.338,18.054,90,0.741,1.625,0.615,1.000
11,P106-Fg010_R.tif:2686-3719:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,12880,59.261,12,118,3673,2616,92,140,157.973,103.811,90,0.752,1.522,0.657,1.000
12,P106-Fg010_R.tif:2680-3660:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,14322,71.236,12,120,3614,2603,93,154,173.770,104.939,90,0.737,1.656,0.604,1.000
13,P106-Fg010_R.tif:2581-3555:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,43254,77.568,8,139,3466,2460,178,243,274.196,200.851,90,0.767,1.365,0.733,1.000
14,P106-Fg010_R.tif:2673-3433:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,18648,71.594,13,121,3370,2599,126,148,167.000,142.176,90,0.780,1.175,0.851,1.000
15,P106-Fg010_R.tif:2669-3355:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,16184,72.487,13,115,3287,2610,136,119,153.460,134.277,0,0.782,1.143,0.875,1.000
16,P106-Fg010_R.tif:2669-3241:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,17365,83.433,18,117,3166,2612,151,115,170.385,129.764,0,0.771,1.313,0.762,1.000
17,P106-Fg010_R.tif:2984-3823:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,31710,88.348,10,125,3748,2879,151,210,236.960,170.385,90,0.764,1.391,0.719,1.000
18,P106-Fg010_R.tif:2965-3730:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,12954,88.921,15,121,3679,2902,102,127,143.304,115.095,90,0.776,1.245,0.803,1.000
19,P106-Fg010_R.tif:2968-3571:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,20000,60.658,12,117,3509,2888,125,160,180.541,141.047,90,0.774,1.280,0.781,1.000
20,P106-Fg010_R.tif:2988-3551:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,39200,77.711,12,121,3439,2901,224,175,252.757,197.466,0,0.774,1.280,0.781,1.000
21,P106-Fg010_R.tif:2930-3438:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,6885,95.187,29,114,3398,2888,81,85,95.912,91.399,90,0.785,1.049,0.953,1.000
22,P106-Fg010_R.tif:2943-3347:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,13440,73.503,14,116,3291,2883,112,120,135.406,126.378,90,0.784,1.071,0.933,1.000
23,P106-Fg010_R.tif:2933-3276:P106-Fg010-R-C01-R01-D23062013-T104436-LR924 _012,11187,63.852,12,116,3227,2877,99,113,127.507,111.710,90,0.782,1.141,0.876,1.000
