frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,M44191.tif:1242-2172,255945,212.338,37,255,1946,960,453,565,637.534,511.156,90,0.776,1.247,0.802,1.000
2,M44191.tif:1067-1699,292138,214.758,43,255,1430,796,539,542,611.582,608.196,90,0.785,1.006,0.994,1.000
3,M44191.tif:1096-0913,750060,212.075,13,255,508,633,810,926,1044.879,913.987,90,0.782,1.143,0.875,1.000
4,M44191.tif:2225-0736,597690,210.912,26,255,475,1653,522,1145,1291.994,589.014,90,0.676,2.193,0.456,1.000
5,M44191.tif:2074-1186,278204,222.581,52,255,965,1760,443,628,708.622,499.872,90,0.762,1.418,0.705,1.000
6,M44191.tif:2006-2057,810346,217.511,0,255,1574,1587,967,838,1091.143,945.582,0,0.781,1.154,0.867,1.000
7,M44191.tif:2904-2391,371234,204.321,33,255,2182,2461,419,886,999.744,472.791,90,0.685,2.115,0.473,1.000
8,M44191.tif:2742-1971,79856,180.401,23,255,1847,2581,248,322,363.338,279.838,90,0.772,1.298,0.770,1.000
9,M44191.tif:3187-1854,64944,205.799,35,255,1656,3105,396,164,446.838,185.054,0,0.651,2.415,0.414,1.000
10,M44191.tif:3013-1399,150300,198.371,29,255,1249,2763,300,501,565.318,338.514,90,0.736,1.670,0.599,1.000
11,M44191.tif:3197-0786,239127,212.628,45,255,497,2991,579,413,653.332,466.021,0,0.763,1.402,0.713,1.000
12,M44191.tif:3534-1696,110352,167.414,2,255,1240,3474,912,121,1029.082,136.534,0,0.325,7.537,0.133,1.000
