frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,M41033.tif:0247-3682,46080,220.726,68,255,3592,119,180,256,288.865,203.108,90,0.762,1.422,0.703,1
2,M41033.tif:0169-3431,36423,225.187,13,255,3325,84,213,171,240.345,192.953,0,0.776,1.246,0.803,1
3,M41033.tif:0249-3053,112064,221.139,43,255,2847,113,412,272,464.892,306.919,0,0.752,1.515,0.66,1
4,M41033.tif:0279-2406,237510,209.854,0,255,2091,91,630,377,710.879,425.399,0,0.736,1.671,0.598,1
5,M41033.tif:0276-1830,86240,203.816,0,255,1634,166,392,220,442.325,248.243,0,0.723,1.782,0.561,1
6,M41033.tif:0243-1344,89908,186.362,0,246,1097,152,494,182,557.419,205.365,0,0.618,2.714,0.368,1
7,M41033.tif:0407-0924,184500,216.263,21,255,719,182,410,450,507.771,462.635,90,0.784,1.098,0.911,1
8,M41033.tif:0405-0603,7752,217.027,118,251,565,354,76,102,115.095,85.757,90,0.769,1.342,0.745,1
9,M41033.tif:0371-0483,34320,216.281,33,254,428,215,110,312,352.054,124.122,90,0.605,2.836,0.353,1
10,M41033.tif:0594-0591,25740,203.243,0,253,494,528,195,132,220.034,148.946,0,0.756,1.477,0.677,1
11,M41033.tif:0514-1262,31376,203.064,37,252,1188,408,148,212,239.216,167,90,0.761,1.432,0.698,1
12,M41033.tif:0406-1485,6120,199.123,32,232,1449,364,72,85,95.912,81.243,90,0.78,1.181,0.847,1
13,M41033.tif:0405-1604,2300,221.325,146,250,1579,382,50,46,56.419,51.905,0,0.784,1.087,0.92,1
14,M41033.tif:0379-3490,18476,216.9,92,255,3416,317,149,124,168.128,139.919,0,0.779,1.202,0.832,1
15,M41033.tif:0660-3696,59000,204.935,27,255,3596,513,200,295,332.872,225.676,90,0.756,1.475,0.678,1
16,M41033.tif:0679-3471,52303,218.095,59,255,3375,544,193,271,305.791,217.777,90,0.763,1.404,0.712,1
17,M41033.tif:0570-3371,3936,209.365,138,254,3347,529,48,82,92.527,54.162,90,0.732,1.708,0.585,1
18,M41033.tif:0675-3053,152781,216.912,42,255,2853,485,401,381,452.48,429.912,0,0.785,1.052,0.95,1
19,M41033.tif:0527-2837,2501,229.083,168,255,2817,497,41,61,68.831,46.264,90,0.755,1.488,0.672,1
20,M41033.tif:0846-2409,423872,209.281,16,255,2051,550,716,592,807.919,668,0,0.778,1.209,0.827,1
21,M41033.tif:0745-1749,153180,205.906,18,255,1542,560,414,370,467.149,417.5,0,0.783,1.119,0.894,1
22,M41033.tif:0987-1296,402990,193.699,0,255,964,684,665,606,750.372,683.798,0,0.784,1.097,0.911,1
23,M41033.tif:1022-0712,272888,198.798,8,255,491,714,443,616,695.082,499.872,90,0.764,1.391,0.719,1
24,M41033.tif:1152-0608,513024,209.18,8,255,224,818,768,668,866.595,753.757,0,0.782,1.15,0.87,1
25,M41033.tif:1337-1198,17871,213.892,104,241,1118,1282,161,111,181.669,125.25,0,0.759,1.45,0.689,1
26,M41033.tif:1231-1867,98982,197.147,27,255,1726,1056,282,351,396.061,318.203,90,0.776,1.245,0.803,1
27,M41033.tif:1282-2426,51529,207.158,16,255,2313,1169,227,227,256.142,256.142,0,0.785,1,1,1
28,M41033.tif:1110-2577,2242,222.78,106,255,2548,1091,59,38,66.574,42.878,0,0.749,1.553,0.644,1
29,M41033.tif:1304-2706,5265,202.204,49,247,2666,1272,81,65,91.399,73.345,0,0.776,1.246,0.802,1
30,M41033.tif:1312-2785,2120,216.658,112,241,2765,1286,40,53,59.804,45.135,90,0.77,1.325,0.755,1
31,M41033.tif:1050-3042,52624,221.546,56,255,2954,901,176,299,337.385,198.595,90,0.733,1.699,0.589,1
32,M41033.tif:1232-3000,62746,211.601,48,255,2886,1095,229,274,309.176,258.399,90,0.779,1.197,0.836,1
33,M41033.tif:0989-3322,64930,206.43,54,254,3171,882,302,215,340.771,242.602,0,0.763,1.405,0.712,1
34,M41033.tif:1270-3300,40915,223.709,95,255,3178,1187,245,167,276.453,188.439,0,0.757,1.467,0.682,1
35,M41033.tif:1143-3638,172448,206.531,23,250,3480,871,317,544,613.838,357.696,90,0.731,1.716,0.583,1
36,M41033.tif:1533-3772,13200,208.413,72,252,3697,1489,150,88,169.257,99.297,0,0.732,1.705,0.587,1
37,M41033.tif:1712-3764,3922,213.027,130,242,3727,1686,74,53,83.5,59.804,0,0.764,1.396,0.716,1
38,M41033.tif:1556-3654,2332,217.12,153,245,3632,1530,44,53,59.804,49.649,90,0.779,1.205,0.83,1
39,M41033.tif:1556-3608,690,223.817,197,241,3593,1545,30,23,33.851,25.953,0,0.772,1.304,0.767,1
40,M41033.tif:1603-3547,21960,215.665,101,255,3502,1481,90,244,275.325,101.554,90,0.618,2.711,0.369,1
41,M41033.tif:1690-3644,14210,218.854,142,255,3595,1618,98,145,163.615,110.581,90,0.756,1.48,0.676,1
42,M41033.tif:1495-3420,19980,224.637,126,255,3366,1403,108,185,208.75,121.865,90,0.731,1.713,0.584,1
43,M41033.tif:1690-3370,18326,210.918,67,255,3311,1613,119,154,173.77,134.277,90,0.772,1.294,0.773,1
44,M41033.tif:1503-3245,29120,217.753,105,255,3180,1391,130,224,252.757,146.689,90,0.73,1.723,0.58,1
45,M41033.tif:1584-2902,150962,214.221,24,255,2639,1441,526,287,593.527,323.845,0,0.718,1.833,0.546,1
46,M41033.tif:1541-2483,40733,219.985,50,255,2357,1461,253,161,285.48,181.669,0,0.747,1.571,0.636,1
47,M41033.tif:1518-2138,57640,210.459,42,255,2007,1408,262,220,295.635,248.243,0,0.779,1.191,0.84,1
48,M41033.tif:1560-1725,76396,206.988,17,255,1591,1418,269,284,320.46,303.534,90,0.785,1.056,0.947,1
49,M41033.tif:1550-1443,60977,192.106,8,253,1335,1410,217,281,317.075,244.858,90,0.772,1.295,0.772,1
50,M41033.tif:1570-1285,4272,202.441,59,238,1261,1526,48,89,100.426,54.162,90,0.715,1.854,0.539,1
51,M41033.tif:1500-1138,15892,202.127,70,242,1070,1442,137,116,154.588,130.892,0,0.78,1.181,0.847,1
52,M41033.tif:1710-1116,71508,199.024,23,246,965,1592,303,236,341.899,266.297,0,0.773,1.284,0.779,1
53,M41033.tif:1586-0841,27176,199.39,19,239,755,1507,172,158,194.081,178.284,0,0.784,1.089,0.919,1
54,M41033.tif:1774-0881,17391,196.882,51,234,835,1681,93,187,211.007,104.939,90,0.697,2.011,0.497,1
55,M41033.tif:1727-0657,85374,209.159,21,254,504,1588,306,279,345.284,314.818,0,0.784,1.097,0.912,1
56,M41033.tif:1614-0487,13775,211.756,75,252,440,1542,95,145,163.615,107.196,90,0.751,1.526,0.655,1
57,M41033.tif:1878-3489,163513,213.955,50,255,3241,1714,497,329,560.804,371.237,0,0.753,1.511,0.662,1
58,M41033.tif:1887-3135,9919,220.464,152,251,3090,1833,91,109,122.993,102.683,90,0.779,1.198,0.835,1
59,M41033.tif:2007-3110,54880,213.63,7,255,2998,1885,224,245,276.453,252.757,90,0.784,1.094,0.914,1
60,M41033.tif:1913-2851,37430,203.269,33,243,2753,1818,197,190,222.291,214.392,0,0.785,1.037,0.964,1
61,M41033.tif:1837-2602,42560,206.785,38,250,2507,1725,190,224,252.757,214.392,90,0.78,1.179,0.848,1
62,M41033.tif:1777-2376,9869,210.366,104,247,2307,1742,139,71,156.845,80.115,0,0.703,1.958,0.511,1
63,M41033.tif:1779-2177,19323,210.093,58,255,2121,1694,113,171,192.953,127.507,90,0.753,1.513,0.661,1
64,M41033.tif:1663-2053,10579,216.676,102,255,1979,1628,149,71,168.128,80.115,0,0.687,2.099,0.477,1
65,M41033.tif:1807-2030,8281,198.191,33,237,1985,1762,91,91,102.683,102.683,0,0.785,1,1,1
66,M41033.tif:1874-1726,64560,182.619,22,241,1592,1754,269,240,303.534,270.811,0,0.783,1.121,0.892,1
67,M41033.tif:2025-1341,156453,203.638,15,246,1126,1844,431,363,486.331,409.602,0,0.78,1.187,0.842,1
68,M41033.tif:2002-1008,20640,204.583,11,255,928,1938,160,129,180.541,145.561,0,0.776,1.24,0.806,1
69,M41033.tif:2019-0701,60207,192.719,18,249,537,1928,329,183,371.237,206.493,0,0.722,1.798,0.556,1
70,M41033.tif:2447-0563,129690,197.644,4,250,432,2200,262,495,558.548,295.635,90,0.711,1.889,0.529,1
71,M41033.tif:2432-0903,140656,198.87,2,249,754,2196,298,472,532.595,336.257,90,0.745,1.584,0.631,1
72,M41033.tif:2226-1014,12375,204.626,20,249,977,2144,75,165,186.183,84.628,90,0.675,2.2,0.455,1
73,M41033.tif:2329-1216,12834,202.653,65,241,1170,2260,93,138,155.716,104.939,90,0.756,1.484,0.674,1
74,M41033.tif:2495-1163,12376,194.332,71,232,1104,2443,119,104,134.277,117.351,0,0.782,1.144,0.874,1
75,M41033.tif:2325-1347,16008,187.08,68,236,1289,2256,116,138,155.716,130.892,90,0.78,1.19,0.841,1
76,M41033.tif:2511-1349,6890,207.176,67,246,1317,2458,65,106,119.608,73.345,90,0.74,1.631,0.613,1
77,M41033.tif:2650-1180,15576,201.573,57,252,1092,2606,177,88,199.723,99.297,0,0.697,2.011,0.497,1
78,M41033.tif:2634-1365,6900,212.649,91,238,1328,2588,75,92,103.811,84.628,90,0.777,1.227,0.815,1
79,M41033.tif:2211-1648,14170,188.255,22,244,1594,2146,109,130,146.689,122.993,90,0.779,1.193,0.838,1
80,M41033.tif:2118-1731,18585,205.46,42,243,1679,2030,105,177,199.723,118.48,90,0.734,1.686,0.593,1
81,M41033.tif:2006-1817,5451,201.137,39,230,1783,1967,69,79,89.142,77.858,90,0.782,1.145,0.873,1
82,M41033.tif:2559-1746,32010,195.47,50,245,1649,2477,194,165,218.906,186.183,0,0.78,1.176,0.851,1
83,M41033.tif:2443-1847,135285,196.517,14,249,1692,2226,311,435,490.845,350.926,90,0.764,1.399,0.715,1
84,M41033.tif:2135-1930,59784,215.015,26,250,1851,1947,159,376,424.271,179.412,90,0.656,2.365,0.423,1
85,M41033.tif:1928-2069,7154,206.177,39,254,2033,1879,73,98,110.581,82.372,90,0.769,1.342,0.745,1
86,M41033.tif:2099-2089,13776,174.655,44,233,2028,2043,123,112,138.791,126.378,0,0.784,1.098,0.911,1
87,M41033.tif:1977-2188,9020,208.612,72,239,2147,1922,82,110,124.122,92.527,90,0.769,1.341,0.745,1
88,M41033.tif:1873-2323,7519,199.36,34,251,2272,1837,103,73,116.223,82.372,0,0.763,1.411,0.709,1
89,M41033.tif:1930-2394,17480,201.765,34,244,2318,1873,152,115,171.514,129.764,0,0.77,1.322,0.757,1
90,M41033.tif:2121-2262,23711,201.988,49,243,2197,2031,131,181,204.237,147.818,90,0.765,1.382,0.724,1
91,M41033.tif:2066-2475,31790,189.293,13,251,2382,1981,187,170,211.007,191.824,0,0.784,1.1,0.909,1
92,M41033.tif:2066-2690,31185,193.248,14,237,2596,1984,189,165,213.264,186.183,0,0.782,1.145,0.873,1
93,M41033.tif:2098-2901,13104,197.528,13,235,2838,2046,126,104,142.176,117.351,0,0.778,1.212,0.825,1
94,M41033.tif:2157-3421,108472,205.465,2,255,3239,2008,364,298,410.73,336.257,0,0.778,1.221,0.819,1
95,M41033.tif:2222-3730,48443,203.751,48,242,3634,2097,193,251,283.223,217.777,90,0.772,1.301,0.769,1
96,M41033.tif:2513-3729,23668,203.568,33,238,3668,2416,122,194,218.906,137.662,90,0.745,1.59,0.629,1
97,M41033.tif:2434-3562,10044,204.664,53,235,3500,2394,124,81,139.919,91.399,0,0.751,1.531,0.653,1
98,M41033.tif:2602-3581,10890,207.654,38,251,3526,2553,110,99,124.122,111.71,0,0.783,1.111,0.9,1
99,M41033.tif:2489-3336,103428,208.942,36,255,3183,2320,306,338,381.392,345.284,90,0.783,1.105,0.905,1
100,M41033.tif:2233-3084,15048,201.09,36,236,2999,2189,171,88,192.953,99.297,0,0.705,1.943,0.515,1
101,M41033.tif:2377-3008,50424,210.514,36,255,2913,2245,191,264,297.892,215.52,90,0.765,1.382,0.723,1
102,M41033.tif:2587-2956,18876,194.623,32,248,2890,2516,132,143,161.358,148.946,90,0.784,1.083,0.923,1
103,M41033.tif:2449-2836,27219,205.75,46,251,2772,2344,129,211,238.088,145.561,90,0.74,1.636,0.611,1
104,M41033.tif:2252-2749,22968,201.983,7,253,2662,2186,174,132,196.338,148.946,0,0.771,1.318,0.759,1
105,M41033.tif:2198-2579,4950,222.048,123,252,2542,2165,75,66,84.628,74.473,0,0.782,1.136,0.88,1
106,M41033.tif:2300-2487,39375,192.592,21,255,2330,2238,315,125,355.439,141.047,0,0.639,2.52,0.397,1
107,M41033.tif:2361-2233,13780,214.896,3,255,2168,2308,130,106,146.689,119.608,0,0.777,1.226,0.815,1
108,M41033.tif:2504-2160,14040,199.499,74,251,2102,2444,117,120,135.406,132.02,90,0.785,1.026,0.975,1
109,M41033.tif:2475-2387,21294,205.403,49,250,2303,2412,169,126,190.696,142.176,0,0.769,1.341,0.746,1
110,M41033.tif:2515-2614,22194,187.265,24,246,2546,2434,137,162,182.797,154.588,90,0.78,1.182,0.846,1
111,M41033.tif:2452-2662,6699,188.73,32,246,2624,2409,77,87,98.169,86.885,90,0.782,1.13,0.885,1
112,M41033.tif:2767-2424,75715,164.035,0,244,2026,2720,797,95,899.318,107.196,0,0.299,8.389,0.119,1
