frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,M44195.tif:1363-2165,2094784,192.102,0,255,1243,795,1844,1136,2080.731,1281.839,0,0.741,1.623,0.616,1.000
2,M44195.tif:2654-3152,243504,199.394,36,255,2796,2483,712,342,803.406,385.906,0,0.689,2.082,0.480,1.000
3,M44195.tif:2575-2331,197960,218.181,0,253,2086,2373,490,404,552.906,455.865,0,0.778,1.213,0.824,1.000
4,M44195.tif:2728-1685,281936,228.803,107,255,1422,2460,526,536,604.811,593.527,90,0.785,1.019,0.981,1.000
5,M44195.tif:3229-1773,107562,199.091,65,249,1576,3093,394,273,444.581,308.048,0,0.760,1.443,0.693,1.000
6,M44195.tif:3170-2347,100360,201.022,74,250,2154,3040,386,260,435.554,293.379,0,0.756,1.485,0.674,1.000
7,M44195.tif:3458-3255,148200,206.217,57,253,2970,3328,570,260,643.176,293.379,0,0.676,2.192,0.456,1.000
8,M44195.tif:3574-2492,275968,161.329,0,253,2184,3350,616,448,695.082,505.514,0,0.766,1.375,0.727,1.000
9,M44195.tif:4057-1806,395388,205.206,38,255,1428,3796,756,523,853.055,590.142,0,0.759,1.446,0.692,1.000
10,M44195.tif:4090-2544,64480,198.889,64,255,2440,3935,208,310,349.798,234.703,90,0.755,1.490,0.671,1.000
11,M44195.tif:4363-2235,70104,217.100,95,255,2108,4225,254,276,311.433,286.608,90,0.784,1.087,0.920,1.000
12,M44195.tif:4177-2883,87120,213.230,87,246,2718,4045,330,264,372.365,297.892,0,0.776,1.250,0.800,1.000
13,M44195.tif:4198-3283,73788,167.121,0,255,3140,4069,286,258,322.716,291.122,0,0.783,1.109,0.902,1.000
14,M44195.tif:4943-3210,106000,194.766,48,255,3010,4811,400,265,451.352,299.020,0,0.753,1.509,0.663,1.000
15,M44195.tif:4861-2537,105270,172.774,37,255,2372,4702,330,319,372.365,359.953,0,0.785,1.034,0.967,1.000
16,M44195.tif:4815-1536,43240,204.650,102,255,1442,4700,188,230,259.527,212.135,90,0.777,1.223,0.817,1.000
17,M44195.tif:5367-2419,209628,178.345,6,255,1772,5286,1294,162,1460.123,182.797,0,0.311,7.988,0.125,1.000
