frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,M43288.tif:1684-3336,1280640,210.469,82,248,2876,988,920,1392,1570.704,1038.109,90,0.753,1.513,0.661,1.000
2,M43288.tif:1582-2611,637200,203.830,73,248,2316,1042,590,1080,1218.650,665.744,90,0.718,1.831,0.546,1.000
3,M43288.tif:1498-2046,367840,198.485,77,241,1804,1118,484,760,857.568,546.136,90,0.747,1.570,0.637,1.000
4,M43288.tif:2078-1733,252672,195.405,75,250,1592,1630,282,896,1011.028,318.203,90,0.572,3.177,0.315,1.000
5,M43288.tif:1579-1414,304024,202.158,92,240,1236,1152,356,854,963.636,401.703,90,0.652,2.399,0.417,1.000
6,M43288.tif:1954-0785,1241344,200.928,69,244,412,1122,746,1664,1877.623,841.771,90,0.671,2.231,0.448,1.000
7,M43288.tif:2774-1106,81472,196.427,80,238,954,2640,304,268,343.027,302.406,0,0.782,1.134,0.882,1.000
8,M43288.tif:2747-1476,148200,200.426,82,242,1326,2500,300,494,557.419,338.514,90,0.739,1.647,0.607,1.000
9,M43288.tif:2810-1792,79808,195.195,88,242,1706,2578,172,464,523.568,194.081,90,0.620,2.698,0.371,1.000
10,M43288.tif:2658-2347,319992,208.233,80,243,2148,2256,398,804,907.217,449.095,90,0.696,2.020,0.495,1.000
11,M43288.tif:2682-2895,399528,211.880,94,245,2616,2324,558,716,807.919,629.636,90,0.773,1.283,0.779,1.000
12,M43288.tif:2629-3369,112308,209.145,91,241,3222,2438,294,382,431.041,331.743,90,0.772,1.299,0.770,1.000
13,M43288.tif:2676-3714,145792,213.258,83,249,3578,2408,272,536,604.811,306.919,90,0.702,1.971,0.507,1.000
14,M43288.tif:3549-3441,306460,203.276,78,244,3056,3350,770,398,868.852,449.095,0,0.706,1.935,0.517,1.000
15,M43288.tif:3276-2921,58088,201.788,96,241,2784,3170,274,212,309.176,239.216,0,0.773,1.292,0.774,1.000
16,M43288.tif:3540-2619,156728,203.695,106,242,2476,3266,286,548,618.352,322.716,90,0.708,1.916,0.522,1.000
17,M43288.tif:3520-2099,412720,201.427,75,249,1764,3212,670,616,756.014,695.082,0,0.784,1.088,0.919,1.000
18,M43288.tif:3413-1578,36888,197.658,101,238,1472,3326,212,174,239.216,196.338,0,0.778,1.218,0.821,1.000
19,M43288.tif:3753-1645,59532,194.203,75,236,1524,3630,242,246,277.581,273.068,90,0.785,1.017,0.984,1.000
20,M43288.tif:3380-1344,22000,192.005,78,236,1234,3330,220,100,248.243,112.838,0,0.675,2.200,0.455,1.000
21,M43288.tif:3463-1112,29952,194.803,107,240,1048,3346,128,234,264.041,144.433,90,0.718,1.828,0.547,1.000
22,M43288.tif:3414-0923,24304,195.087,83,240,874,3290,98,248,279.838,110.581,90,0.638,2.531,0.395,1.000
23,M43288.tif:3431-0711,39900,193.627,97,233,578,3356,266,150,300.149,169.257,0,0.724,1.773,0.564,1.000
24,M43288.tif:3777-0696,42344,192.055,78,236,562,3698,268,158,302.406,178.284,0,0.733,1.696,0.590,1.000
25,M43288.tif:3733-0992,30360,199.826,82,242,926,3618,132,230,259.527,148.946,90,0.728,1.742,0.574,1.000
26,M43288.tif:3789-1288,44160,197.817,75,237,1128,3720,320,138,361.081,155.716,0,0.661,2.319,0.431,1.000
27,M43288.tif:4072-0703,18648,193.326,103,230,592,4030,222,84,250.500,94.784,0,0.626,2.643,0.378,1.000
28,M43288.tif:4185-1070,45576,193.953,79,239,1016,3974,108,422,476.176,121.865,90,0.510,3.907,0.256,1.000
29,M43288.tif:4153-1277,16692,198.307,74,236,1238,4046,78,214,241.473,88.014,90,0.615,2.744,0.364,1.000
