frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,M43663.tif:1106-3661,36764,166.702,44,224,3560,1015,202,182,227.933,205.365,0,0.783,1.110,0.901,1.000
2,M43663.tif:1090-3325,27588,168.348,39,225,3265,976,121,228,257.270,136.534,90,0.712,1.884,0.531,1.000
3,M43663.tif:1084-3009,48224,148.405,43,219,2921,947,176,274,309.176,198.595,90,0.748,1.557,0.642,1.000
4,M43663.tif:1054-2518,24717,176.365,52,220,2465,939,107,231,260.656,120.737,90,0.680,2.159,0.463,1.000
5,M43663.tif:1048-2190,15876,165.145,48,219,2117,994,147,108,165.872,121.865,0,0.767,1.361,0.735,1.000
6,M43663.tif:1058-1802,18848,155.741,47,230,1740,982,124,152,171.514,139.919,90,0.777,1.226,0.816,1.000
7,M43663.tif:1033-1461,27594,173.493,53,216,1367,960,189,146,213.264,164.743,0,0.772,1.295,0.772,1.000
8,M43663.tif:1032-1041,28085,171.992,54,224,939,964,205,137,231.318,154.588,0,0.754,1.496,0.668,1.000
9,M43663.tif:1016-0785,25872,135.994,45,211,697,943,176,147,198.595,165.872,0,0.779,1.197,0.835,1.000
10,M43663.tif:1584-0850,39893,155.014,45,220,707,1515,287,139,323.845,156.845,0,0.691,2.065,0.484,1.000
11,M43663.tif:1558-1180,42427,160.425,41,217,1076,1457,209,203,235.831,229.061,0,0.785,1.030,0.971,1.000
12,M43663.tif:1580-1549,21615,160.677,46,227,1467,1515,165,131,186.183,147.818,0,0.775,1.260,0.794,1.000
13,M43663.tif:1522-1939,36356,175.398,49,219,1817,1448,244,149,275.325,168.128,0,0.740,1.638,0.611,1.000
14,M43663.tif:1568-2352,27636,160.870,54,216,2258,1495,188,147,212.135,165.872,0,0.774,1.279,0.782,1.000
15,M43663.tif:1502-2607,17520,179.139,68,218,2547,1429,120,146,164.743,135.406,90,0.778,1.217,0.822,1.000
16,M43663.tif:1516-2904,25856,170.811,51,227,2840,1415,128,202,227.933,144.433,90,0.746,1.578,0.634,1.000
17,M43663.tif:1556-3331,63684,164.793,43,222,3209,1426,244,261,294.507,275.325,90,0.785,1.070,0.935,1.000
18,M43663.tif:1521-3656,9072,148.398,55,213,3600,1481,112,81,126.378,91.399,0,0.765,1.383,0.723,1.000
19,M43663.tif:1948-3596,26208,195.316,67,231,3505,1876,182,144,205.365,162.487,0,0.775,1.264,0.791,1.000
20,M43663.tif:1997-3273,17460,170.245,66,230,3225,1907,97,180,203.108,109.453,90,0.715,1.856,0.539,1.000
21,M43663.tif:1978-2973,11300,174.700,57,221,2923,1922,100,113,127.507,112.838,90,0.782,1.130,0.885,1.000
22,M43663.tif:1983-2543,7387,188.731,83,220,2502,1939,83,89,100.426,93.655,90,0.784,1.072,0.933,1.000
23,M43663.tif:1998-2323,13410,172.813,60,223,2278,1924,90,149,168.128,101.554,90,0.738,1.656,0.604,1.000
24,M43663.tif:1984-2005,9102,175.757,61,222,1944,1947,123,74,138.791,83.500,0,0.737,1.662,0.602,1.000
25,M43663.tif:1985-1509,12696,186.543,67,230,1463,1916,92,138,155.716,103.811,90,0.754,1.500,0.667,1.000
26,M43663.tif:2007-1140,19564,159.201,48,220,1073,1934,134,146,164.743,151.203,90,0.784,1.090,0.918,1.000
27,M43663.tif:2047-0790,21717,173.430,57,224,705,1984,171,127,192.953,143.304,0,0.768,1.346,0.743,1.000
28,M43663.tif:2453-0857,48640,161.516,62,224,705,2373,304,160,343.027,180.541,0,0.710,1.900,0.526,1.000
29,M43663.tif:2433-1245,13755,180.757,90,226,1193,2368,105,131,147.818,118.480,90,0.776,1.248,0.802,1.000
30,M43663.tif:2396-1487,27456,169.559,55,220,1416,2300,143,192,216.649,161.358,90,0.769,1.343,0.745,1.000
31,M43663.tif:2439-2012,15295,190.748,67,220,1932,2392,161,95,181.669,107.196,0,0.733,1.695,0.590,1.000
32,M43663.tif:2447-2277,21350,180.803,67,224,2216,2360,122,175,197.466,137.662,90,0.760,1.434,0.697,1.000
33,M43663.tif:2438-2588,16758,188.970,71,230,2503,2389,171,98,192.953,110.581,0,0.728,1.745,0.573,1.000
34,M43663.tif:2400-2959,14210,182.303,73,223,2910,2328,98,145,163.615,110.581,90,0.756,1.480,0.676,1.000
35,M43663.tif:2425-3285,21870,185.945,61,232,3204,2358,162,135,182.797,152.331,0,0.779,1.200,0.833,1.000
36,M43663.tif:2383-3645,30102,189.298,62,226,3558,2297,174,173,196.338,195.210,0,0.785,1.006,0.994,1.000
37,M43663.tif:2914-3637,47912,179.886,63,225,3524,2808,226,212,255.014,239.216,0,0.785,1.066,0.938,1.000
38,M43663.tif:2885-3291,97696,173.684,53,225,3119,2743,344,284,388.162,320.460,0,0.778,1.211,0.826,1.000
39,M43663.tif:2869-2912,32800,162.237,50,223,2832,2767,160,205,231.318,180.541,90,0.773,1.281,0.780,1.000
40,M43663.tif:2945-2654,53460,158.089,60,226,2544,2824,220,243,274.196,248.243,90,0.783,1.105,0.905,1.000
41,M43663.tif:2873-2385,17484,173.895,62,222,2323,2803,124,141,159.101,139.919,90,0.782,1.137,0.879,1.000
42,M43663.tif:2921-2080,32640,156.913,54,222,2020,2785,120,272,306.919,135.406,90,0.667,2.267,0.441,1.000
43,M43663.tif:2840-1679,66970,169.105,48,245,1494,2750,370,181,417.500,204.237,0,0.693,2.044,0.489,1.000
44,M43663.tif:2794-1285,39520,175.999,56,231,1209,2664,152,260,293.379,171.514,90,0.731,1.711,0.585,1.000
45,M43663.tif:2858-0902,69498,148.272,42,220,727,2759,351,198,396.061,223.419,0,0.724,1.773,0.564,1.000
46,M43663.tif:3453-0964,99242,193.668,56,231,791,3310,347,286,391.548,322.716,0,0.778,1.213,0.824,1.000
47,M43663.tif:3433-1399,39270,182.761,65,225,1306,3328,187,210,236.960,211.007,90,0.783,1.123,0.890,1.000
48,M43663.tif:3449-1808,56133,195.392,73,229,1660,3355,297,189,335.129,213.264,0,0.747,1.571,0.636,1.000
49,M43663.tif:3385-2150,55552,190.960,87,226,2042,3257,217,256,288.865,244.858,90,0.780,1.180,0.848,1.000
50,M43663.tif:3449-2399,12528,187.844,68,223,2345,3391,108,116,130.892,121.865,90,0.784,1.074,0.931,1.000
51,M43663.tif:3475-2672,15355,192.757,79,223,2580,3434,185,83,208.750,93.655,0,0.672,2.229,0.449,1.000
52,M43663.tif:3433-3021,54500,144.894,63,225,2896,3324,250,218,282.095,245.987,0,0.782,1.147,0.872,1.000
53,M43663.tif:3444-3323,41610,187.111,66,226,3214,3349,219,190,247.115,214.392,0,0.781,1.153,0.868,1.000
54,M43663.tif:3408-3648,89424,163.538,49,226,3486,3270,324,276,365.595,311.433,0,0.780,1.174,0.852,1.000
55,M43663.tif:3834-3702,71504,201.774,61,233,3538,3725,328,218,370.108,245.987,0,0.754,1.505,0.665,1.000
56,M43663.tif:3868-3393,27864,139.203,52,220,3312,3782,162,172,194.081,182.797,90,0.785,1.062,0.942,1.000
57,M43663.tif:3868-2991,12064,185.704,83,228,2939,3810,104,116,130.892,117.351,90,0.783,1.115,0.897,1.000
58,M43663.tif:3833-2736,8288,189.861,97,225,2680,3796,112,74,126.378,83.500,0,0.753,1.514,0.661,1.000
59,M43663.tif:3770-2363,3752,177.608,85,220,2330,3742,67,56,75.601,63.189,0,0.779,1.196,0.836,1.000
60,M43663.tif:3916-2127,10560,188.430,81,222,2061,3876,132,80,148.946,90.270,0,0.738,1.650,0.606,1.000
61,M43663.tif:3842-1775,24056,170.694,59,222,1713,3745,124,194,218.906,139.919,90,0.747,1.565,0.639,1.000
62,M43663.tif:3812-1410,16198,163.400,76,221,1366,3721,89,182,205.365,100.426,90,0.693,2.045,0.489,1.000
63,M43663.tif:3830-0895,29694,153.387,55,222,822,3729,147,202,227.933,165.872,90,0.766,1.374,0.728,1.000
64,M43663.tif:4306-0855,6201,144.832,61,215,797,4280,117,53,132.020,59.804,0,0.674,2.208,0.453,1.000
65,M43663.tif:4370-0897,792,189.837,129,219,886,4352,22,36,40.622,24.824,90,0.740,1.636,0.611,1.000
66,M43663.tif:4288-1261,6612,153.330,64,215,1218,4250,87,76,98.169,85.757,0,0.782,1.145,0.874,1.000
67,M43663.tif:4302-1799,16800,137.950,49,219,1729,4242,140,120,157.973,135.406,0,0.781,1.167,0.857,1.000
