frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,M44193.tif:1602-3232,180238,194.150,56,255,3034,1375,397,454,512.284,447.967,90,0.782,1.144,0.874,1.000
2,M44193.tif:1659-1797,3239616,191.811,0,255,720,907,2154,1504,2430.529,1697.082,0,0.761,1.432,0.698,1.000
3,M44193.tif:2292-2861,73980,205.008,111,255,2724,2157,274,270,309.176,304.662,0,0.785,1.015,0.985,1.000
4,M44193.tif:1443-3550,92664,181.526,24,255,3501,975,99,936,1056.163,111.710,90,0.272,9.455,0.106,1.000
