 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
28,P106-Fg009_R.tif:3314-4262:P106-Fg009-R-C01-R01-D23062013-T103406-LR445 _ColorCalData_I,18104,91.219,49,144,4200,3241,124,146,164.743,139.919,90,0.780,1.177,0.849,1.000
29,P106-Fg009_R.tif:3309-4175:P106-Fg009-R-C01-R01-D23062013-T103406-LR445 _ColorCalData_I,11440,98.246,47,153,4131,3244,88,130,146.689,99.297,90,0.756,1.477,0.677,1.000
30,P106-Fg009_R.tif:3269-4082:P106-Fg009-R-C01-R01-D23062013-T103406-LR445 _ColorCalData_I,16988,101.776,48,172,4014,3207,137,124,154.588,139.919,0,0.783,1.105,0.905,1.000
31,P106-Fg009_R.tif:3284-3767:P106-Fg009-R-C01-R01-D23062013-T103406-LR445 _ColorCalData_I,3135,109.051,56,170,3740,3256,55,57,64.318,62.061,90,0.785,1.036,0.965,1.000
32,P106-Fg009_R.tif:3300-3697:P106-Fg009-R-C01-R01-D23062013-T103406-LR445 _ColorCalData_I,21888,104.453,49,184,3625,3224,144,152,171.514,162.487,90,0.785,1.056,0.947,1.000
33,P106-Fg009_R.tif:3275-3547:P106-Fg009-R-C01-R01-D23062013-T103406-LR445 _ColorCalData_I,10788,101.960,49,174,3504,3213,87,124,139.919,98.169,90,0.761,1.425,0.702,1.000
34,P106-Fg009_R.tif:3280-3442:P106-Fg009-R-C01-R01-D23062013-T103406-LR445 _ColorCalData_I,16506,114.377,54,184,3377,3217,131,126,147.818,142.176,0,0.785,1.040,0.962,1.000
35,P106-Fg009_R.tif:3277-3379:P106-Fg009-R-C01-R01-D23062013-T103406-LR445 _ColorCalData_I,13260,119.269,50,184,3328,3212,102,130,146.689,115.095,90,0.774,1.275,0.785,1.000
36,P106-Fg009_R.tif:3283-3280:P106-Fg009-R-C01-R01-D23062013-T103406-LR445 _ColorCalData_I,21291,106.525,3,181,3210,3208,141,151,170.385,159.101,90,0.784,1.071,0.934,1.000
37,P106-Fg009_R.tif:3286-3177:P106-Fg009-R-C01-R01-D23062013-T103406-LR445 _ColorCalData_I,18144,100.378,53,160,3121,3205,112,162,182.797,126.378,90,0.759,1.446,0.691,1.000
38,P106-Fg009_R.tif:3296-3116:P106-Fg009-R-C01-R01-D23062013-T103406-LR445 _ColorCalData_I,16275,106.330,53,151,3070,3209,93,175,197.466,104.939,90,0.712,1.882,0.531,1.000
39,P106-Fg009_R.tif:3546-3493:P106-Fg009-R-C01-R01-D23062013-T103406-LR445 _ColorCalData_I,16402,88.100,9,142,3434,3477,118,139,156.845,133.149,90,0.780,1.178,0.849,1.000
40,P106-Fg009_R.tif:3539-3370:P106-Fg009-R-C01-R01-D23062013-T103406-LR445 _ColorCalData_I,21600,97.706,41,162,3303,3459,135,160,180.541,152.331,90,0.780,1.185,0.844,1.000
41,P106-Fg009_R.tif:3747-3718:P106-Fg009-R-C01-R01-D23062013-T103406-LR445 _ColorCalData_I,4332,109.461,52,165,3690,3709,57,76,85.757,64.318,90,0.769,1.333,0.750,1.000
42,P106-Fg009_R.tif:3819-3696:P106-Fg009-R-C01-R01-D23062013-T103406-LR445 _ColorCalData_I,5130,116.077,56,173,3651,3791,90,57,101.554,64.318,0,0.746,1.579,0.633,1.000
43,P106-Fg009_R.tif:3752-3618:P106-Fg009-R-C01-R01-D23062013-T103406-LR445 _ColorCalData_I,21528,96.893,2,158,3540,3683,156,138,176.027,155.716,0,0.782,1.130,0.885,1.000
44,P106-Fg009_R.tif:3769-3457:P106-Fg009-R-C01-R01-D23062013-T103406-LR445 _ColorCalData_I,29202,89.613,5,157,3379,3676,157,186,209.879,177.156,90,0.780,1.185,0.844,1.000
45,P106-Fg009_R.tif:4267-3634:P106-Fg009-R-C01-R01-D23062013-T103406-LR445 _ColorCalData_I,10764,111.027,51,201,3595,4198,78,138,155.716,88.014,90,0.725,1.769,0.565,1.000
46,P106-Fg009_R.tif:4267-3583:P106-Fg009-R-C01-R01-D23062013-T103406-LR445 _ColorCalData_I,8850,107.859,52,158,3546,4208,75,118,133.149,84.628,90,0.746,1.573,0.636,1.000
47,P106-Fg009_R.tif:4272-3476:P106-Fg009-R-C01-R01-D23062013-T103406-LR445 _ColorCalData_I,19591,86.087,42,155,3408,4201,137,143,161.358,154.588,90,0.785,1.044,0.958,1.000
48,P106-Fg009_R.tif:4266-3367:P106-Fg009-R-C01-R01-D23062013-T103406-LR445 _ColorCalData_I,14812,92.297,49,152,3321,4186,92,161,181.669,103.811,90,0.727,1.750,0.571,1.000
49,P106-Fg009_R.tif:2882-3420:P106-Fg009-R-C01-R01-D23062013-T103406-LR445 _ColorCalData_I,6081648,86.042,0,252,2434,1340,1972,3084,3479.921,2225.164,90,0.747,1.564,0.639,1.000
